OID_,MTFCC,Lat_End,Long_End,Lat_Start,Long_Start,Start_ID,End_ID
0,,37.411338,-122.076826,37.411999,-122.078452,401926,401937
1,,37.407282,-122.06515,37.411338,-122.076826,401937,401936
2,,37.407147,-122.070055,37.411338,-122.076826,401937,407359
3,,37.405335,-122.056343,37.407282,-122.06515,401936,402373
4,,37.403153,-122.047463,37.405335,-122.056343,402373,400435
5,,37.401893,-122.041683,37.405335,-122.056343,402373,404554
6,,37.401893,-122.041683,37.403153,-122.047463,400435,404554
7,,37.40013,-122.033628,37.401893,-122.041683,404554,400545
8,,37.406298,-122.011605,37.401893,-122.041683,404554,404585
9,,37.398628,-122.026802,37.401893,-122.041683,404554,400330
10,,37.402071,-122.041627,37.401893,-122.041683,404554,404522
11,,37.396411,-122.015716,37.401893,-122.041683,404554,401996
12,,37.398989,-122.028373,37.40013,-122.033628,400545,400743
13,,37.406298,-122.011605,37.40013,-122.033628,400545,404585
14,,37.396411,-122.015716,37.40013,-122.033628,400545,401996
15,,37.398628,-122.026802,37.398989,-122.028373,400743,400330
16,,37.396611,-122.017518,37.398628,-122.026802,400330,402371
17,,37.395734,-122.013489,37.396611,-122.017518,402371,404553
18,,37.395067,-122.010518,37.395734,-122.013489,404553,400904
19,,37.417735,-121.972451,37.401893,-122.041683,404554,400973
20,,37.417735,-121.972451,37.40013,-122.033628,400545,400973
21,,37.417735,-121.972451,37.395734,-122.013489,404553,400973
22,,37.393755,-122.005329,37.395067,-122.010518,400904,402369
23,,37.390763,-121.994912,37.393755,-122.005329,402369,400643
24,,37.417735,-121.972451,37.393755,-122.005329,402369,400973
25,,37.390422,-121.993716,37.390763,-121.994912,400643,400794
26,,37.388372,-121.986538,37.390422,-121.993716,400794,402367
27,,37.385758,-121.977493,37.388372,-121.986538,402367,400069
28,,37.386551,-121.979462,37.388372,-121.986538,402367,400246
29,,37.418931,-121.962821,37.388372,-121.986538,402367,400567
30,,37.38482,-121.974251,37.385758,-121.977493,400069,400372
31,,37.381356,-121.96211,37.38482,-121.974251,400372,400206
32,,37.380958,-121.960741,37.381356,-121.96211,400206,400895
33,,37.376835,-121.942537,37.380958,-121.960741,400895,400586
34,,37.381356,-121.96211,37.380958,-121.960741,400895,400206
35,,37.386551,-121.979462,37.380958,-121.960741,400895,400246
36,,37.376264,-121.939712,37.376835,-121.942537,400586,400172
37,,37.407919,-121.878542,37.376835,-121.942537,400586,407191
38,,37.420741,-121.882093,37.376835,-121.942537,400586,407151
39,,37.414988,-121.912685,37.376835,-121.942537,400586,400088
40,,37.367859,-121.907971,37.376264,-121.939712,400172,402365
41,,37.38449,-121.904845,37.376264,-121.939712,400172,402281
42,,37.364382,-121.902692,37.367859,-121.907971,402365,400394
43,,37.359087,-121.906538,37.367859,-121.907971,402365,400030
44,,37.349517,-121.91728,37.367859,-121.907971,402365,403225
45,,37.337137,-121.897741,37.367859,-121.907971,402365,402058
46,,37.363644,-121.899535,37.364382,-121.902692,400394,400922
47,,37.364689,-121.902989,37.364382,-121.902692,400394,404753
48,,37.36614,-121.901132,37.364382,-121.902692,400394,400122
49,,37.362706,-121.889426,37.363644,-121.899535,400922,400109
50,,37.3588,-121.872094,37.363644,-121.899535,400922,402363
51,,37.38449,-121.904845,37.363644,-121.899535,400922,402281
52,,37.3588,-121.872094,37.362706,-121.889426,400109,402363
53,,37.353727,-121.865827,37.3588,-121.872094,402363,400440
54,,37.358996,-121.871981,37.3588,-121.872094,402363,402362
55,,37.372785,-121.850839,37.3588,-121.872094,402363,407180
56,,37.360613,-121.841794,37.3588,-121.872094,402363,407202
57,,37.348392,-121.860589,37.353727,-121.865827,400440,400160
58,,37.343293,-121.855795,37.348392,-121.860589,400160,401891
59,,37.335596,-121.858919,37.348392,-121.860589,400160,401655
60,,37.344023,-121.845368,37.348392,-121.860589,400160,407165
61,,37.335259,-121.848031,37.343293,-121.855795,401891,401906
62,,37.329591,-121.842361,37.335259,-121.848031,401906,402360
63,,37.329728,-121.842102,37.329591,-121.842361,402360,402359
64,,37.335284,-121.847662,37.329728,-121.842102,402359,401908
65,,37.335596,-121.858919,37.329728,-121.842102,402359,401655
66,,37.344023,-121.845368,37.329728,-121.842102,402359,407165
67,,37.336089,-121.848437,37.335284,-121.847662,401908,400804
68,,37.336549,-121.848881,37.336089,-121.848437,400804,402361
69,,37.34241,-121.854543,37.336549,-121.848881,402361,400400
70,,37.343447,-121.855539,37.34241,-121.854543,400400,401890
71,,37.350928,-121.862378,37.343447,-121.855539,401890,400996
72,,37.360223,-121.841285,37.343447,-121.855539,401890,407177
73,,37.360613,-121.841794,37.343447,-121.855539,401890,407202
74,,37.348392,-121.860589,37.343447,-121.855539,401890,400160
75,,37.35512,-121.866967,37.350928,-121.862378,400996,400668
76,,37.358996,-121.871981,37.35512,-121.866967,400668,402362
77,,37.363311,-121.893592,37.358996,-121.871981,402362,400965
78,,37.365167,-121.901551,37.363644,-121.899535,400922,404759
79,,37.38449,-121.904845,37.358996,-121.871981,402362,402281
80,,37.365167,-121.901551,37.358996,-121.871981,402362,404759
81,,37.3588,-121.872094,37.358996,-121.871981,402362,402363
82,,37.364085,-121.901149,37.363311,-121.893592,400965,400001
83,,37.36614,-121.901132,37.363311,-121.893592,400965,400122
84,,37.364689,-121.902989,37.364085,-121.901149,400001,404753
85,,37.363644,-121.899535,37.364085,-121.901149,400001,400922
86,,37.362439,-121.903211,37.364085,-121.901149,400001,400479
87,,37.368104,-121.90788,37.364689,-121.902989,404753,402364
88,,37.3588,-121.872094,37.364689,-121.902989,404753,402363
89,,37.36614,-121.901132,37.364689,-121.902989,404753,400122
90,,37.371809,-121.91655,37.368104,-121.90788,402364,400863
91,,37.38449,-121.904845,37.368104,-121.90788,402364,402281
92,,37.372674,-121.922087,37.371809,-121.91655,400863,400911
93,,37.374628,-121.931055,37.372674,-121.922087,400911,400760
94,,37.376264,-121.939712,37.372674,-121.922087,400911,400172
95,,37.414988,-121.912685,37.372674,-121.922087,400911,400088
96,,37.420741,-121.882093,37.372674,-121.922087,400911,407151
97,,37.407919,-121.878542,37.372674,-121.922087,400911,407191
98,,37.376685,-121.94075,37.374628,-121.931055,400760,400964
99,,37.377237,-121.943586,37.376685,-121.94075,400964,400227
100,,37.414988,-121.912685,37.377237,-121.943586,400227,400088
101,,37.407919,-121.878542,37.377237,-121.943586,400227,407191
102,,37.420741,-121.882093,37.377237,-121.943586,400227,407151
103,,37.376835,-121.942537,37.377237,-121.943586,400227,400586
104,,37.382586,-121.965617,37.377237,-121.943586,400227,404521
105,,37.383125,-121.967496,37.382586,-121.965617,404521,400353
106,,37.385523,-121.975872,37.383125,-121.967496,400353,401994
107,,37.418931,-121.962821,37.383125,-121.967496,400353,400567
108,,37.367859,-121.907971,37.383125,-121.967496,400353,402365
109,,37.414988,-121.912685,37.383125,-121.967496,400353,400088
110,,37.420741,-121.882093,37.383125,-121.967496,400353,407151
111,,37.407919,-121.878542,37.383125,-121.967496,400353,407191
112,,37.386551,-121.979462,37.385523,-121.975872,401994,400246
113,,37.388542,-121.986478,37.386551,-121.979462,400246,402366
114,,37.391166,-121.995524,37.388542,-121.986478,402366,400168
115,,37.417735,-121.972451,37.388542,-121.986478,402366,400973
116,,37.38482,-121.974251,37.388542,-121.986478,402366,400372
117,,37.391922,-121.998077,37.391166,-121.995524,400168,400790
118,,37.393954,-122.005269,37.391922,-121.998077,400790,402368
119,,37.39592,-122.013438,37.393954,-122.005269,402368,402370
120,,37.395067,-122.010518,37.393954,-122.005269,402368,400904
121,,37.417735,-121.972451,37.393954,-122.005269,402368,400973
122,,37.396411,-122.015716,37.39592,-122.013438,402370,401996
123,,37.398597,-122.025693,37.396411,-122.015716,401996,401997
124,,37.398628,-122.026802,37.396411,-122.015716,401996,400330
125,,37.406298,-122.011605,37.396411,-122.015716,401996,404585
126,,37.402071,-122.041627,37.398597,-122.025693,401997,404522
127,,37.404178,-122.05107,37.402071,-122.041627,404522,401998
128,,37.401893,-122.041683,37.402071,-122.041627,404522,404554
129,,37.40547,-122.055924,37.404178,-122.05107,401998,402372
130,,37.407511,-122.065278,37.40547,-122.055924,402372,401534
131,,37.405335,-122.056343,37.40547,-122.055924,402372,402373
132,,37.409514,-122.071728,37.407511,-122.065278,401534,401948
133,,37.407147,-122.070055,37.407511,-122.065278,401534,407359
134,,37.412677,-122.079539,37.409514,-122.071728,401948,401507
135,,37.411999,-122.078452,37.412677,-122.079539,401507,401926
136,,37.403673,-122.069953,37.407147,-122.070055,407359,400869
137,,37.395123,-122.068612,37.40547,-122.055924,402372,407374
138,,37.395123,-122.068612,37.403673,-122.069953,400869,407374
139,,37.388893,-122.068829,37.395123,-122.068612,407374,400528
140,,37.384273,-122.068412,37.388893,-122.068829,400528,407348
141,,37.379094,-122.067604,37.388893,-122.068829,400528,407342
142,,37.379368,-122.067871,37.384273,-122.068412,407348,407367
143,,37.377057,-122.067805,37.379368,-122.067871,407367,407352
144,,37.379094,-122.067604,37.379368,-122.067871,407367,407342
145,,37.373187,-122.067646,37.377057,-122.067805,407352,407360
